lat_r,lng_r,alert_count
17.156,79.614,45
17.156,79.615,45
17.218,79.15,45
17.161,79.301,45
17.157,79.431,45
16.968,80.028,45
17.107,79.726,45
17.231,79.092,45
17.232,79.112,45
17.297,78.74,45
17.107,79.725,45
17.196,79.2,45
17.131,79.634,45
17.169,79.347,45
17.106,79.735,45
17.195,79.236,45
16.967,80.031,45
17.177,79.269,45
17.099,79.75,45
17.168,79.405,45
17.047,79.846,45
17.23,79.001,45
17.2,79.211,45
16.97,80.024,45
17.231,79.054,44
17.099,79.762,44
17.065,79.814,44
17.196,79.197,44
17.016,79.922,44
17.169,79.393,44
17.28,78.786,44
17.171,79.379,44
17.282,78.783,44
17.039,79.852,44
17.158,79.438,44
17.173,79.279,44
17.277,78.809,44
17.2,79.214,44
17.279,78.789,44
17.231,78.968,44
17.169,79.287,44
17.246,78.917,44
17.231,79.102,44
17.159,79.308,44
17.22,79.148,44
17.108,79.715,44
17.147,79.587,44
17.161,79.321,44
16.983,80.004,44
17.102,79.743,44
17.234,78.957,44
17.152,79.57,44
17.112,79.674,44
17.058,79.826,44
17.158,79.465,44
17.158,79.437,44
17.11,79.701,44
17.166,79.336,44
17.091,79.778,44
17.018,79.88,44
17.17,79.383,44
16.974,80.019,44
17.027,79.864,44
17.17,79.353,44
17.158,79.468,44
17.317,78.66,43
17.158,79.469,43
16.985,79.999,43
17.161,79.319,43
17.161,79.493,43
17.266,78.829,43
17.115,79.66,43
17.171,79.283,43
16.985,79.997,43
17.223,79.142,43
17.27,78.822,43
17.171,79.365,43
17.12,79.65,43
17.104,79.74,43
16.942,80.059,43
16.979,80.012,43
17.212,79.167,43
17.163,79.326,43
17.164,79.551,43
17.1,79.748,43
17.198,79.225,43
17.2,79.218,43
17.201,79.188,43
17.177,79.268,43
17.23,79.084,43
17.061,79.82,43
17.176,79.272,43
17.153,79.621,43
17.103,79.742,43
17.098,79.766,43
17.107,79.723,43
17.108,79.714,43
17.168,79.398,43
17.077,79.8,43
17.156,79.425,43
17.154,79.609,43
17.252,78.899,43
17.106,79.734,43
17.175,79.275,43
17.071,79.804,43
17.16,79.498,42
17.16,79.315,42
17.247,78.914,42
17.248,78.908,42
17.108,79.709,42
17.107,79.719,42
17.159,79.541,42
17.19,79.248,42
17.111,79.669,42
17.099,79.751,42
17.216,79.153,42
17.192,79.244,42
17.258,78.85,42
17.15,79.577,42
17.231,79.095,42
17.2,79.216,42
17.231,78.966,42
17.164,79.55,42
17.017,79.883,42
17.17,79.351,42
17.23,79.083,42
17.167,79.29,42
17.23,79.071,42
17.074,79.803,42
16.985,79.998,42
17.112,79.672,42
17.158,79.436,42
17.153,79.562,42
17.093,79.774,42
17.081,79.792,42
17.197,79.204,41
17.107,79.72,41
17.167,79.406,41
17.069,79.805,41
17.246,78.918,41
17.138,79.633,41
17.255,78.891,41
17.022,79.874,41
16.958,80.042,41
17.258,78.86,41
17.105,79.737,41
17.165,79.333,41
17.06,79.823,41
17.243,78.929,41
17.18,79.258,41
17.231,79.085,41
17.025,79.867,41
17.108,79.711,41
16.956,80.043,41
17.196,79.196,41
17.171,79.369,41
17.2,79.21,41
17.053,79.835,41
17.157,79.462,41
17.21,79.173,41
17.195,79.235,41
17.112,79.689,41
17.172,79.371,41
17.031,79.859,41
17.117,79.656,41
17.164,79.552,41
17.231,79.1,41
17.078,79.797,41
17.108,79.713,41
17.145,79.594,41
17.124,79.645,41
16.969,80.027,40
17.163,79.516,40
16.98,80.009,40
17.16,79.494,40
17.317,78.658,40
16.963,80.037,40
17.162,79.512,40
16.96,80.041,40
17.168,79.342,40
17.161,79.302,40
17.169,79.389,40
17.169,79.391,40
17.171,79.374,40
17.17,79.386,40
17.192,79.245,40
17.193,79.241,40
17.175,79.274,40
17.014,79.913,40
17.054,79.832,40
17.232,79.126,40
17.016,79.888,40
17.111,79.667,40
17.156,79.424,40
17.158,79.537,40
17.147,79.586,40
17.098,79.757,40
17.179,79.259,40
17.013,79.911,40
17.242,78.934,40
17.152,79.572,40
17.159,79.447,40
17.158,79.42,40
